Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
6e+16,12,192,8,0.0004,5308416,1920000,7228416,191.39,1380000000.0,sp6
6e+16,12,208,8,0.0004,6230016,2080000,8310016,144.81,1200000000.0,sp6
6e+16,12,224,8,0.0004,7225344,2240000,9465344,111.62,1060000000.0,sp6
6e+16,12,240,8,0.0004,8294400,2400000,10694400,87.44,935000000.0,sp6
6e+16,12,256,8,0.0004,9437184,2560000,11997184,69.48,834000000.0,sp6
6e+16,12,272,8,0.0004,10653696,2720000,13373696,55.91,748000000.0,sp6
6e+16,12,296,8,0.0004,12616704,2960000,15576704,41.21,642000000.0,sp6
6e+16,12,312,8,0.0004,14017536,3120000,17137536,34.05,584000000.0,sp6
6e+16,12,336,8,0.0004,16257024,3360000,19617024,25.99,510000000.0,sp6
6e+16,12,360,8,0.0004,18662400,3600000,22262400,20.18,449000000.0,sp6
6e+16,12,384,8,0.0004,21233664,3840000,25073664,15.91,399000000.0,sp6
6e+16,12,424,8,0.0004,25887744,4240000,30127744,11.02,332000000.0,sp6
