Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
6e+16,8,160,8,0.0004,2457600,5120000,7577600,174.1553,1319679000.0,sp6
6e+16,8,216,8,0.0004,4478976,6912000,11390976,77.0687,877887900.0,sp6
6e+16,8,296,8,0.0004,8411136,9472000,17883136,31.2689,559186000.0,sp6
6e+16,16,288,8,0.0003,15925248,9216000,25141248,15.8207,397752700.0,sp6
6e+16,16,392,8,0.0003,29503488,12544000,42047488,5.6561,237826300.0,sp6
6e+16,12,616,8,0.00035,54641664,19712000,74353664,1.8088,134492400.0,sp6
6e+16,12,840,8,0.00035,101606400,26880000,128486400,0.6057,77829250.0,sp6
6e+16,16,992,8,0.0003,188940288,31744000,220684288,0.2053,45313600.0,sp6
