Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
1e+15,6,128,8,0.0004,1179648,4096000,5275648,5.9882,31591700.0,sp6
1e+15,6,136,8,0.0004,1331712,4352000,5683712,5.1592,29323560.0,sp6
1e+15,6,152,8,0.0004,1663488,4864000,6527488,3.9116,25533050.0,sp6
1e+15,6,168,8,0.0004,2032128,5376000,7408128,3.0369,22497810.0,sp6
1e+15,6,184,8,0.0004,2437632,5888000,8325632,2.4044,20018500.0,sp6
1e+15,6,200,8,0.0004,2880000,6400000,9280000,1.9353,17959770.0,sp6
1e+15,6,216,8,0.0004,3359232,6912000,10271232,1.5798,16226550.0,sp6
1e+15,6,240,8,0.0004,4147200,7680000,11827200,1.1915,14091810.0,sp6
1e+15,8,224,8,0.0004,4816896,7168000,11984896,1.1603,13906390.0,sp6
1e+15,8,248,8,0.0004,5904384,7936000,13840384,0.8701,12042060.0,sp6
1e+15,6,312,8,0.0004,7008768,9984000,16992768,0.5772,9808094.0,sp6
1e+15,10,264,8,0.0004,8363520,8448000,16811520,0.5897,9913837.0,sp6
1e+15,10,288,8,0.0004,9953280,9216000,19169280,0.4536,8694467.0,sp6
1e+15,12,288,8,0.00035,11943936,9216000,21159936,0.3722,7876520.0,sp6
1e+15,10,344,8,0.0004,14200320,11008000,25208320,0.2623,6611574.0,sp6
1e+15,12,344,8,0.00035,17040384,11008000,28048384,0.2119,5942113.0,sp6
