Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
1e+16,6,128,8,0.0004,1179648,4096000,5275648,59.8821,315917000.0,sp6
1e+16,6,152,8,0.0004,1663488,4864000,6527488,39.1162,255330500.0,sp6
1e+16,8,160,8,0.0004,2457600,5120000,7577600,29.0259,219946500.0,sp6
1e+16,6,224,8,0.0004,3612672,7168000,10780672,14.3403,154597700.0,sp6
1e+16,10,208,8,0.0004,5191680,6656000,11847680,11.8736,140674500.0,sp6
1e+16,8,280,8,0.0004,7526400,8960000,16486400,6.1319,101093400.0,sp6
1e+16,14,256,8,0.0003,11010048,8192000,19202048,4.5202,86796300.0,sp6
1e+16,8,408,8,0.0004,15980544,13056000,29036544,1.9768,57398930.0,sp6
1e+16,12,400,8,0.00035,23040000,12800000,35840000,1.2975,46502980.0,sp6
1e+16,10,528,8,0.0004,33454080,16896000,50350080,0.6574,33101570.0,sp6
1e+16,8,712,8,0.0004,48666624,22784000,71450624,0.3265,23326130.0,sp6
1e+16,14,648,8,0.0003,70543872,20736000,91279872,0.2,18258860.0,sp6
