Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
3e+15,6,128,8,0.0004,1179648,4096000,5275648,17.9646,94775090.0,sp6
3e+15,6,144,8,0.0004,1492992,4608000,6100992,13.4329,81953890.0,sp6
3e+15,6,160,8,0.0004,1843200,5120000,6963200,10.3122,71806070.0,sp6
3e+15,6,176,8,0.0004,2230272,5632000,7862272,8.0886,63594850.0,sp6
3e+15,6,200,8,0.0004,2880000,6400000,9280000,5.806,53879310.0,sp6
3e+15,6,224,8,0.0004,3612672,7168000,10780672,4.3021,46379300.0,sp6
3e+15,8,216,8,0.0004,4478976,6912000,11390976,3.8534,43894400.0,sp6
3e+15,6,280,8,0.0004,5644800,8960000,14604800,2.3441,34235320.0,sp6
3e+15,8,272,8,0.0004,7102464,8704000,15806464,2.0012,31632630.0,sp6
3e+15,6,352,8,0.0004,8921088,11264000,20185088,1.2272,24770760.0,sp6
3e+15,10,304,8,0.0004,11089920,9728000,20817920,1.1537,24017770.0,sp6
3e+15,6,440,8,0.0004,13939200,14080000,28019200,0.6369,17844910.0,sp6
3e+15,10,384,8,0.0004,17694720,12288000,29982720,0.5562,16676270.0,sp6
3e+15,6,552,8,0.0004,21938688,17664000,39602688,0.3188,12625410.0,sp6
3e+15,6,616,8,0.0004,27320832,19712000,47032832,0.226,10630870.0,sp6
3e+15,12,488,8,0.00035,34292736,15616000,49908736,0.2007,10018290.0,sp6
