Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
6e+15,6,128,8,0.0004,1179648,4096000,5275648,35.9293,189550200.0,sp6
6e+15,6,144,8,0.0004,1492992,4608000,6100992,26.8658,163907800.0,sp6
6e+15,6,168,8,0.0004,2032128,5376000,7408128,18.2215,134986900.0,sp6
6e+15,8,160,8,0.0004,2457600,5120000,7577600,17.4155,131967900.0,sp6
6e+15,8,184,8,0.0004,3250176,5888000,9138176,11.9752,109431000.0,sp6
6e+15,8,208,8,0.0004,4153344,6656000,10809344,8.5586,92512550.0,sp6
6e+15,6,272,8,0.0004,5326848,8704000,14030848,5.0796,71271530.0,sp6
6e+15,10,240,8,0.0004,6912000,7680000,14592000,4.6965,68530700.0,sp6
6e+15,6,352,8,0.0004,8921088,11264000,20185088,2.4544,49541520.0,sp6
6e+15,6,400,8,0.0004,11520000,12800000,24320000,1.6907,41118420.0,sp6
6e+15,10,352,8,0.0004,14868480,11264000,26132480,1.4643,38266560.0,sp6
6e+15,10,400,8,0.0004,19200000,12800000,32000000,0.9766,31250000.0,sp6
6e+15,6,584,8,0.0004,24556032,18688000,43244032,0.5347,23124580.0,sp6
6e+15,6,664,8,0.0004,31744512,21248000,52992512,0.3561,18870590.0,sp6
6e+15,10,584,8,0.0004,40926720,18688000,59614720,0.2814,16774380.0,sp6
6e+15,14,560,8,0.0003,52684800,17920000,70604800,0.2006,14163340.0,sp6
