Budget,N,d_model,layers,heads,LR,Tokens,dataset,D_N_ratio
3e+14,41472,24,6,4,0.026,1210000000.0,256,29071.0
3e+14,41472,24,6,4,0.0368,1210000000.0,256,29071.0
3e+14,115200,40,6,4,0.0472,434000000.0,256,3767.6
3e+14,115200,40,6,4,0.0944,434000000.0,256,3767.6
3e+14,165888,48,6,4,0.038,301000000.0,256,1816.94
3e+14,165888,48,6,4,0.076,301000000.0,256,1816.94
3e+14,225792,56,6,4,0.00944,221000000.0,256,980.74
3e+14,225792,56,6,4,0.0134,221000000.0,256,980.74
3e+14,373248,72,6,4,0.0234,134000000.0,256,358.9
3e+14,373248,72,6,4,0.0468,134000000.0,256,358.9
3e+14,460800,80,6,4,0.0206,109000000.0,256,235.48
3e+14,460800,80,6,4,0.0412,109000000.0,256,235.48
3e+14,557568,88,6,4,0.0183,89700000.0,256,160.83
3e+14,557568,88,6,4,0.0367,89700000.0,256,160.83
3e+14,778752,104,6,4,0.015,64200000.0,256,82.45
3e+14,778752,104,6,4,0.03,64200000.0,256,82.45
3e+14,903168,112,6,4,0.0137,55400000.0,256,61.3
3e+14,903168,112,6,4,0.0275,55400000.0,256,61.3
3e+14,1179648,128,6,8,0.0117,42400000.0,256,35.93
3e+14,1179648,128,6,8,0.0234,42400000.0,256,35.93
3e+14,1843200,160,6,8,0.00268,27100000.0,256,14.72
3e+14,1843200,160,6,8,0.00379,27100000.0,256,14.72
3e+14,2437632,184,6,8,0.00226,20500000.0,256,8.41
3e+14,2437632,184,6,8,0.0032,20500000.0,256,8.41
