Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
3e+15,6,96,8,0.0005,663552,960000,1623552,189.69,308000000.0,tss
3e+15,6,104,8,0.0005,778752,1040000,1818752,151.16,275000000.0,tss
3e+15,6,112,8,0.0005,903168,1120000,2023168,122.15,247000000.0,tss
3e+15,6,120,8,0.0005,1036800,1200000,2236800,99.93,224000000.0,tss
3e+15,6,128,8,0.0005,1179648,1280000,2459648,82.65,203000000.0,tss
3e+15,6,136,8,0.0005,1331712,1360000,2691712,69.01,186000000.0,tss
3e+15,6,144,8,0.0005,1492992,1440000,2932992,58.12,170000000.0,tss
3e+15,6,152,8,0.0005,1663488,1520000,3183488,49.34,157000000.0,tss
3e+15,6,160,8,0.0005,1843200,1600000,3443200,42.17,145000000.0,tss
3e+15,6,176,8,0.0005,2230272,1760000,3990272,31.4,125000000.0,tss
3e+15,6,184,8,0.0005,2437632,1840000,4277632,27.33,117000000.0,tss
3e+15,6,192,8,0.0005,2654208,1920000,4574208,23.9,109000000.0,tss
3e+15,6,200,8,0.0005,2880000,2000000,4880000,21.0,102000000.0,tss
3e+15,6,208,8,0.0005,3115008,2080000,5195008,18.53,96200000.0,tss
3e+15,6,216,8,0.0005,3359232,2160000,5519232,16.41,90600000.0,tss
3e+15,6,224,8,0.0005,3612672,2240000,5852672,14.6,85400000.0,tss
3e+15,6,232,8,0.0005,3875328,2320000,6195328,13.03,80700000.0,tss
3e+15,6,248,8,0.0005,4428288,2480000,6908288,10.48,72400000.0,tss
