Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
6e+16,12,144,8,0.0002,2985984,4608000,7593984,173.4,1320000000.0,sp6
6e+16,12,144,8,0.0004,2985984,4608000,7593984,173.4,1320000000.0,sp6
6e+16,12,144,8,0.0006,2985984,4608000,7593984,173.4,1320000000.0,sp6
6e+16,12,160,8,0.0002,3686400,5120000,8806400,128.94,1140000000.0,sp6
6e+16,12,160,8,0.0004,3686400,5120000,8806400,128.94,1140000000.0,sp6
6e+16,12,160,8,0.0006,3686400,5120000,8806400,128.94,1140000000.0,sp6
6e+16,12,176,8,0.0002,4460544,5632000,10092544,98.17,991000000.0,sp6
6e+16,12,176,8,0.0004,4460544,5632000,10092544,98.17,991000000.0,sp6
6e+16,12,176,8,0.0006,4460544,5632000,10092544,98.17,991000000.0,sp6
6e+16,12,192,8,0.0002,5308416,6144000,11452416,76.24,873000000.0,sp6
6e+16,12,192,8,0.0004,5308416,6144000,11452416,76.24,873000000.0,sp6
6e+16,12,192,8,0.0006,5308416,6144000,11452416,76.24,873000000.0,sp6
6e+16,12,208,8,0.0002,6230016,6656000,12886016,60.22,776000000.0,sp6
6e+16,12,208,8,0.0004,6230016,6656000,12886016,60.22,776000000.0,sp6
6e+16,12,208,8,0.0006,6230016,6656000,12886016,60.22,776000000.0,sp6
6e+16,12,224,8,0.0002,7225344,7168000,14393344,48.27,695000000.0,sp6
6e+16,12,224,8,0.0004,7225344,7168000,14393344,48.27,695000000.0,sp6
6e+16,12,224,8,0.0006,7225344,7168000,14393344,48.27,695000000.0,sp6
6e+16,12,248,8,0.0002,8856576,7936000,16792576,35.46,596000000.0,sp6
6e+16,12,248,8,0.0004,8856576,7936000,16792576,35.46,596000000.0,sp6
6e+16,12,248,8,0.0006,8856576,7936000,16792576,35.46,596000000.0,sp6
6e+16,12,264,8,0.0002,10036224,8448000,18484224,29.27,541000000.0,sp6
6e+16,12,264,8,0.0004,10036224,8448000,18484224,29.27,541000000.0,sp6
6e+16,12,264,8,0.0006,10036224,8448000,18484224,29.27,541000000.0,sp6
6e+16,12,288,8,0.0002,11943936,9216000,21159936,22.33,473000000.0,sp6
6e+16,12,288,8,0.0004,11943936,9216000,21159936,22.33,473000000.0,sp6
6e+16,12,288,8,0.0006,11943936,9216000,21159936,22.33,473000000.0,sp6
6e+16,12,312,8,0.0002,14017536,9984000,24001536,17.36,417000000.0,sp6
6e+16,12,312,8,0.0004,14017536,9984000,24001536,17.36,417000000.0,sp6
6e+16,12,312,8,0.0006,14017536,9984000,24001536,17.36,417000000.0,sp6
6e+16,12,336,8,0.0002,16257024,10752000,27009024,13.71,370000000.0,sp6
6e+16,12,336,8,0.0004,16257024,10752000,27009024,13.71,370000000.0,sp6
6e+16,12,336,8,0.0006,16257024,10752000,27009024,13.71,370000000.0,sp6
6e+16,12,360,8,0.0002,18662400,11520000,30182400,10.98,331000000.0,sp6
6e+16,12,360,8,0.0004,18662400,11520000,30182400,10.98,331000000.0,sp6
6e+16,12,360,8,0.0006,18662400,11520000,30182400,10.98,331000000.0,sp6
