Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
1e+16,8,200,8,0.00036,3840000,6400000,10240000,15.8946,162760400.0,sp6
1e+16,10,184,8,0.00036,4062720,5888000,9950720,16.8322,167492100.0,sp6
1e+16,10,192,8,0.00032,4423680,6144000,10567680,14.9241,157713600.0,sp6
1e+16,10,192,8,0.00038,4423680,6144000,10567680,14.9241,157713600.0,sp6
1e+16,8,216,8,0.00032,4478976,6912000,11390976,12.8448,146314700.0,sp6
1e+16,8,216,8,0.00038,4478976,6912000,11390976,12.8448,146314700.0,sp6
1e+16,10,200,8,0.00032,4800000,6400000,11200000,13.2866,148809500.0,sp6
1e+16,10,200,8,0.00038,4800000,6400000,11200000,13.2866,148809500.0,sp6
1e+16,8,224,8,0.00032,4816896,7168000,11984896,11.6033,139063900.0,sp6
1e+16,8,224,8,0.00038,4816896,7168000,11984896,11.6033,139063900.0,sp6
1e+16,8,240,8,0.00032,5529600,7680000,13209600,9.5515,126170900.0,sp6
1e+16,8,240,8,0.00038,5529600,7680000,13209600,9.5515,126170900.0,sp6
1e+16,10,216,8,0.00032,5598720,6912000,12510720,10.6484,133219100.0,sp6
1e+16,10,216,8,0.00038,5598720,6912000,12510720,10.6484,133219100.0,sp6
