Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
3e+16,10,184,8,0.0003,4062720,5888000,9950720,50.4965,502476200.0,sp6
3e+16,10,184,8,0.00035,4062720,5888000,9950720,50.4965,502476200.0,sp6
3e+16,8,208,8,0.0003,4153344,6656000,10809344,42.7929,462562800.0,sp6
3e+16,8,208,8,0.00035,4153344,6656000,10809344,42.7929,462562800.0,sp6
3e+16,8,248,8,0.0003,5904384,7936000,13840384,26.102,361261700.0,sp6
3e+16,8,248,8,0.00035,5904384,7936000,13840384,26.102,361261700.0,sp6
3e+16,10,224,8,0.0003,6021120,7168000,13189120,28.7434,379100300.0,sp6
3e+16,10,224,8,0.00035,6021120,7168000,13189120,28.7434,379100300.0,sp6
3e+16,10,248,8,0.0003,7380480,7936000,15316480,21.3134,326445800.0,sp6
3e+16,10,248,8,0.00035,7380480,7936000,15316480,21.3134,326445800.0,sp6
3e+16,8,280,8,0.0003,7526400,8960000,16486400,18.3958,303280300.0,sp6
3e+16,8,280,8,0.00035,7526400,8960000,16486400,18.3958,303280300.0,sp6
