Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
6e+16,10,200,8,0.00028,4800000,6400000,11200000,79.7194,892857100.0,sp6
6e+16,10,200,8,0.00033,4800000,6400000,11200000,79.7194,892857100.0,sp6
6e+16,8,224,8,0.00028,4816896,7168000,11984896,69.6196,834383500.0,sp6
6e+16,8,224,8,0.00033,4816896,7168000,11984896,69.6196,834383500.0,sp6
6e+16,8,272,8,0.00028,7102464,8704000,15806464,40.0249,632652600.0,sp6
6e+16,8,272,8,0.00033,7102464,8704000,15806464,40.0249,632652600.0,sp6
6e+16,10,248,8,0.00028,7380480,7936000,15316480,42.6267,652891500.0,sp6
6e+16,10,248,8,0.00033,7380480,7936000,15316480,42.6267,652891500.0,sp6
6e+16,8,336,8,0.00028,10838016,10752000,21590016,21.4533,463177100.0,sp6
6e+16,8,336,8,0.00033,10838016,10752000,21590016,21.4533,463177100.0,sp6
6e+16,10,304,8,0.00028,11089920,9728000,20817920,23.0741,480355400.0,sp6
6e+16,10,304,8,0.00033,11089920,9728000,20817920,23.0741,480355400.0,sp6
