Budget,N,d_model,layers,heads,LR,Tokens,dataset,D_N_ratio
6e+14,115200,40,6,4,0.0118,868000000.0,256,7535.2
6e+14,115200,40,6,4,0.0169,868000000.0,256,7535.2
6e+14,115200,40,6,4,0.0236,868000000.0,256,7535.2
6e+14,165888,48,6,4,0.00948,603000000.0,256,3633.88
6e+14,165888,48,6,4,0.0135,603000000.0,256,3633.88
6e+14,165888,48,6,4,0.019,603000000.0,256,3633.88
6e+14,225792,56,6,4,0.00788,443000000.0,256,1961.48
6e+14,225792,56,6,4,0.0113,443000000.0,256,1961.48
6e+14,225792,56,6,4,0.0158,443000000.0,256,1961.48
6e+14,294912,64,6,4,0.00672,339000000.0,256,1149.78
6e+14,294912,64,6,4,0.0096,339000000.0,256,1149.78
6e+14,294912,64,6,4,0.0134,339000000.0,256,1149.78
6e+14,373248,72,6,4,0.00583,268000000.0,256,717.8
6e+14,373248,72,6,4,0.00833,268000000.0,256,717.8
6e+14,373248,72,6,4,0.0117,268000000.0,256,717.8
6e+14,460800,80,6,4,0.00514,217000000.0,256,470.95
6e+14,460800,80,6,4,0.00734,217000000.0,256,470.95
6e+14,460800,80,6,4,0.0103,217000000.0,256,470.95
6e+14,663552,96,6,4,0.00413,151000000.0,256,227.12
6e+14,663552,96,6,4,0.0059,151000000.0,256,227.12
6e+14,663552,96,6,4,0.00826,151000000.0,256,227.12
6e+14,903168,112,6,4,0.00343,111000000.0,256,122.59
6e+14,903168,112,6,4,0.00491,111000000.0,256,122.59
6e+14,903168,112,6,4,0.00687,111000000.0,256,122.59
